CO2 Emissions(g/km);Engine Size(L);Fuel Consumption City (L/100 km);Fuel Consumption Hwy (L/100 km);Fuel Consumption Comb (L/100 km);Make;Model;Vehicle Class;Cylinders;Transmission;Fuel Type
225;2;11;8;10;CHEVROLET;MALIBU;MID-SIZE;4;AS6;Z
184;3;9;6;8;CHEVROLET;MALIBU;MID-SIZE;4;AS6;X
274;4;13;10;12;CHEVROLET;SILVERADO;PICKUP TRUCK - STANDARD;6;A6;X
274;4;19;14;17;CHEVROLET;SILVERADO;PICKUP TRUCK - STANDARD;6;A6;E
292;5;15;10;13;CHEVROLET;SILVERADO;PICKUP TRUCK - STANDARD;8;A6;X
275;5;20;14;17;CHEVROLET;SILVERADO;PICKUP TRUCK - STANDARD;8;A6;E
322;6;16;11;14;CHEVROLET;SILVERADO;PICKUP TRUCK - STANDARD;8;A8;Z
288;4;14;11;13;CHEVROLET;SILVERADO 4WD;PICKUP TRUCK - STANDARD;6;A6;X
288;4;20;15;18;CHEVROLET;SILVERADO 4WD;PICKUP TRUCK - STANDARD;6;A6;E
299;5;15;11;13;CHEVROLET;SILVERADO 4WD;PICKUP TRUCK - STANDARD;8;A6;X
280;5;20;14;18;CHEVROLET;SILVERADO 4WD;PICKUP TRUCK - STANDARD;8;A6;E
327;6;16;12;14;CHEVROLET;SILVERADO 4WD;PICKUP TRUCK - STANDARD;8;A8;Z
184;1;9;7;8;CHEVROLET;SONIC;COMPACT;4;AS6;X
173;1;9;6;8;CHEVROLET;SONIC;COMPACT;4;M6;X
191;2;10;7;8;CHEVROLET;SONIC;COMPACT;4;AS6;X
184;2;9;7;8;CHEVROLET;SONIC;COMPACT;4;M5;X
191;1;9;7;8;CHEVROLET;SONIC RS;COMPACT;4;AS6;X
184;1;9;7;8;CHEVROLET;SONIC RS;COMPACT;4;M6;X
184;1;9;7;8;CHEVROLET;SONIC 5;MID-SIZE;4;AS6;X
173;1;9;6;8;CHEVROLET;SONIC 5;MID-SIZE;4;M6;X
191;2;10;7;8;CHEVROLET;SONIC 5;MID-SIZE;4;AS6;X
184;2;9;7;8;CHEVROLET;SONIC 5;MID-SIZE;4;M5;X
191;1;9;7;8;CHEVROLET;SONIC 5 RS;MID-SIZE;4;AS6;X
184;1;9;7;8;CHEVROLET;SONIC 5 RS;MID-SIZE;4;M6;X
161;1;8;6;7;CHEVROLET;SPARK;SUBCOMPACT;4;AV;X
156;1;8;6;7;CHEVROLET;SPARK;SUBCOMPACT;4;M5;X
292;5;15;10;13;CHEVROLET;SUBURBAN;SUV - STANDARD;8;A6;X
275;5;20;14;17;CHEVROLET;SUBURBAN;SUV - STANDARD;8;A6;E
306;5;15;11;13;CHEVROLET;SUBURBAN 4WD;SUV - STANDARD;8;A6;X
306;5;22;15;19;CHEVROLET;SUBURBAN 4WD;SUV - STANDARD;8;A6;E
292;5;15;10;13;CHEVROLET;TAHOE;SUV - STANDARD;8;A6;X
275;5;20;14;17;CHEVROLET;TAHOE;SUV - STANDARD;8;A6;E
299;5;15;10;13;CHEVROLET;TAHOE 4WD;SUV - STANDARD;8;A6;X
282;5;21;14;18;CHEVROLET;TAHOE 4WD;SUV - STANDARD;8;A6;E
283;4;14;10;12;CHEVROLET;TRAVERSE;SUV - STANDARD;6;A6;X
290;4;15;10;13;CHEVROLET;TRAVERSE AWD;SUV - STANDARD;6;A6;X
189;1;9;7;8;CHEVROLET;TRAX;SUV - SMALL;4;AS6;X
186;1;9;7;8;CHEVROLET;TRAX;SUV - SMALL;4;M6;X
200;1;10;8;9;CHEVROLET;TRAX AWD;SUV - SMALL;4;AS6;X
196;2;10;6;9;CHRYSLER;200;MID-SIZE;4;A9;X
196;2;10;6;9;CHRYSLER;200 FFV;MID-SIZE;4;A9;X
181;2;14;9;11;CHRYSLER;200 FFV;MID-SIZE;4;A9;E
235;4;12;8;10;CHRYSLER;200;MID-SIZE;6;A9;X
235;4;12;8;10;CHRYSLER;200 FFV;MID-SIZE;6;A9;X
218;4;17;10;14;CHRYSLER;200 FFV;MID-SIZE;6;A9;E
246;4;13;8;11;CHRYSLER;200 AWD;MID-SIZE;6;A9;X
246;4;13;8;11;CHRYSLER;200 AWD FFV;MID-SIZE;6;A9;X
226;4;17;11;14;CHRYSLER;200 AWD FFV;MID-SIZE;6;A9;E
237;4;12;8;10;CHRYSLER;300;FULL-SIZE;6;A8;X
237;4;12;8;10;CHRYSLER;300 FFV;FULL-SIZE;6;A8;X
222;4;17;10;14;CHRYSLER;300 FFV;FULL-SIZE;6;A8;E
283;6;15;9;12;CHRYSLER;300 (MDS);FULL-SIZE;8;A8;X
251;4;13;9;11;CHRYSLER;300 AWD;FULL-SIZE;6;A8;X
251;4;13;9;11;CHRYSLER;300 AWD FFV;FULL-SIZE;6;A8;X
237;4;17;12;15;CHRYSLER;300 AWD FFV;FULL-SIZE;6;A8;E
276;4;14;10;12;CHRYSLER;TOWN & COUNTRY FFV;MINIVAN;6;A6;X
269;4;20;13;17;CHRYSLER;TOWN & COUNTRY FFV;MINIVAN;6;A6;E
237;4;12;8;10;DODGE;CHALLENGER;MID-SIZE;6;A8;X
301;6;16;10;13;DODGE;CHALLENGER;MID-SIZE;8;M6;X
320;6;17;10;14;DODGE;CHALLENGER;MID-SIZE;8;M6;Z
283;6;15;9;12;DODGE;CHALLENGER (MDS);MID-SIZE;8;A8;X
297;6;16;10;13;DODGE;CHALLENGER (MDS);MID-SIZE;8;A8;Z
320;6;17;10;14;DODGE;CHALLENGER SRT;MID-SIZE;8;M6;Z
297;6;16;10;13;DODGE;CHALLENGER SRT (MDS);MID-SIZE;8;A8;Z
338;6;18;11;15;DODGE;CHALLENGER SRT HELLCAT;MID-SIZE;8;A8;Z
347;6;18;11;15;DODGE;CHALLENGER SRT HELLCAT;MID-SIZE;8;M6;Z
264;4;14;9;12;DODGE;CHARGER;FULL-SIZE;6;A5;X
264;4;14;9;12;DODGE;CHARGER FFV;FULL-SIZE;6;A5;X
254;4;19;12;16;DODGE;CHARGER FFV;FULL-SIZE;6;A5;E
237;4;12;8;10;DODGE;CHARGER;FULL-SIZE;6;A8;X
237;4;12;8;10;DODGE;CHARGER FFV;FULL-SIZE;6;A8;X
222;4;17;10;14;DODGE;CHARGER FFV;FULL-SIZE;6;A8;E
297;6;16;10;13;DODGE;CHARGER (MDS);FULL-SIZE;8;A5;X
283;6;15;9;12;DODGE;CHARGER (MDS);FULL-SIZE;8;A8;X
251;4;13;9;11;DODGE;CHARGER AWD;FULL-SIZE;6;A8;X
251;4;13;9;11;DODGE;CHARGER AWD FFV;FULL-SIZE;6;A8;X
237;4;17;12;15;DODGE;CHARGER AWD FFV;FULL-SIZE;6;A8;E
308;6;16;10;13;DODGE;CHARGER AWD (MDS);FULL-SIZE;8;A5;X
297;6;16;10;13;DODGE;CHARGER SRT 392 HEMI;FULL-SIZE;8;A8;Z
338;6;18;11;15;DODGE;CHARGER SRT HELLCAT;FULL-SIZE;8;A8;Z
186;2;9;7;8;DODGE;DART;MID-SIZE;4;M6;X
198;2;10;7;9;DODGE;DART FFV;MID-SIZE;4;A6;X
184;2;13;9;12;DODGE;DART FFV;MID-SIZE;4;A6;E
198;2;10;7;9;DODGE;DART;MID-SIZE;4;A6;X
202;2;11;7;9;DODGE;DART;MID-SIZE;4;M6;X
212;2;11;8;9;DODGE;DART GT;MID-SIZE;4;A6;X
202;2;10;7;9;DODGE;DART GT;MID-SIZE;4;M6;X
168;1;8;6;7;DODGE;DART TURBO AERO;MID-SIZE;4;AM6;X
168;1;9;6;7;DODGE;DART TURBO AERO;MID-SIZE;4;M6;X
278;4;14;10;12;DODGE;DURANGO AWD FFV;SUV - STANDARD;6;A8;X
250;4;18;13;16;DODGE;DURANGO AWD FFV;SUV - STANDARD;6;A8;E
338;6;17;12;15;DODGE;DURANGO AWD (MDS);SUV - STANDARD;8;A8;X
271;4;14;9;12;DODGE;GRAND CARAVAN FFV;MINIVAN;6;A6;X
262;4;19;13;16;DODGE;GRAND CARAVAN FFV;MINIVAN;6;A6;E
255;2;13;9;11;DODGE;JOURNEY;SUV - SMALL;4;A4;X
278;4;14;9;12;DODGE;JOURNEY FFV;SUV - SMALL;6;A6;X
259;4;19;13;16;DODGE;JOURNEY FFV;SUV - SMALL;6;A6;E
285;4;15;10;12;DODGE;JOURNEY AWD;SUV - SMALL;6;A6;X
363;8;19;11;16;DODGE;VIPER SRT COUPE;TWO-SEATER;10;M6;Z
182;1;9;7;8;FIAT;500 CABRIO;MINICOMPACT;4;A6;X
166;1;8;6;7;FIAT;500 CABRIO;MINICOMPACT;4;M5;X
182;1;9;7;8;FIAT;500 HATCHBACK;MINICOMPACT;4;A6;X
156;1;8;6;7;FIAT;500 HATCHBACK;MINICOMPACT;4;M5;X
198;1;10;7;9;FIAT;500 HATCHBACK TURBO;MINICOMPACT;4;A6;X
179;1;9;7;8;FIAT;500 HATCHBACK TURBO;MINICOMPACT;4;M5;X
198;1;10;7;9;FIAT;500 ABARTH CABRIO;MINICOMPACT;4;A6;X
179;1;9;7;8;FIAT;500 ABARTH CABRIO;MINICOMPACT;4;M5;X
198;1;10;7;9;FIAT;500 ABARTH HATCHBACK;MINICOMPACT;4;A6;X
179;1;9;7;8;FIAT;500 ABARTH HATCHBACK;MINICOMPACT;4;M5;X
216;1;11;8;9;FIAT;500L;STATION WAGON - SMALL;4;A6;X
200;1;10;7;9;FIAT;500L;STATION WAGON - SMALL;4;AM6;X
191;1;9;7;8;FIAT;500L;STATION WAGON - SMALL;4;M6;X
138;2;6;6;6;FORD;C-MAX HYBRID;FULL-SIZE;4;AV;X
225;2;12;8;10;FORD;EDGE;SUV - SMALL;4;AS6;X
225;2;11;8;10;FORD;EDGE (Start/Stop);SUV - SMALL;4;AS6;X
260;4;13;9;11;FORD;EDGE;SUV - SMALL;6;AS6;X
237;2;12;8;10;FORD;EDGE AWD;SUV - SMALL;4;AS6;X
271;4;14;10;12;FORD;EDGE AWD;SUV - SMALL;6;AS6;X
274;3;14;10;12;FORD;EDGE SPORT AWD;SUV - SMALL;6;AS6;X
207;2;10;7;9;FORD;ESCAPE;SUV - SMALL;4;AS6;X
221;2;11;8;10;FORD;ESCAPE;SUV - SMALL;4;AS6;X
218;3;11;8;10;FORD;ESCAPE;SUV - SMALL;4;AS6;X
216;2;11;8;9;FORD;ESCAPE AWD;SUV - SMALL;4;AS6;X
232;2;11;8;10;FORD;ESCAPE AWD;SUV - SMALL;4;AS6;X
327;4;16;12;14;FORD;EXPEDITION 4X4;SUV - STANDARD;6;AS6;X
331;4;16;12;14;FORD;EXPEDITION MAX 4X4;SUV - STANDARD;6;AS6;X
239;2;12;9;10;FORD;EXPLORER;SUV - STANDARD;4;A6;X
274;4;14;10;12;FORD;EXPLORER FFV;SUV - STANDARD;6;AS6;X
258;4;19;13;16;FORD;EXPLORER FFV;SUV - STANDARD;6;AS6;E
299;4;15;11;13;FORD;EXPLORER AWD (EcoBoost);SUV - STANDARD;6;AS6;X
288;4;14;10;13;FORD;EXPLORER FFV AWD;SUV - STANDARD;6;AS6;X
270;4;19;14;17;FORD;EXPLORER FFV AWD;SUV - STANDARD;6;AS6;E
248;3;12;9;11;FORD;F-150;PICKUP TRUCK - STANDARD;6;AS6;X
276;4;14;10;12;FORD;F-150;PICKUP TRUCK - STANDARD;6;AS6;X
264;4;13;10;12;FORD;F-150 FFV;PICKUP TRUCK - STANDARD;6;A6;X
251;4;18;13;16;FORD;F-150 FFV;PICKUP TRUCK - STANDARD;6;A6;E
306;5;16;11;13;FORD;F-150 FFV;PICKUP TRUCK - STANDARD;8;AS6;X
286;5;21;14;18;FORD;F-150 FFV;PICKUP TRUCK - STANDARD;8;AS6;E
276;3;13;10;12;FORD;F-150 4X4;PICKUP TRUCK - STANDARD;6;AS6;X
288;4;14;10;13;FORD;F-150 4X4;PICKUP TRUCK - STANDARD;6;AS6;X
285;4;14;11;12;FORD;F-150 FFV 4X4;PICKUP TRUCK - STANDARD;6;A6;X
269;4;19;14;17;FORD;F-150 FFV 4X4;PICKUP TRUCK - STANDARD;6;A6;E
320;5;16;11;14;FORD;F-150 FFV 4X4;PICKUP TRUCK - STANDARD;8;AS6;X
299;5;22;15;19;FORD;F-150 FFV 4X4;PICKUP TRUCK - STANDARD;8;AS6;E
175;2;9;6;8;FORD;FIESTA;SUBCOMPACT;4;AS6;X
175;2;9;7;8;FORD;FIESTA;SUBCOMPACT;4;M5;X
152;1;8;6;7;FORD;FIESTA SFE;SUBCOMPACT;3;M5;X
170;2;8;6;7;FORD;FIESTA SFE;SUBCOMPACT;4;AS6;X
184;2;9;7;8;FORD;FIESTA ST;SUBCOMPACT;4;M6;X
267;4;13;10;12;FORD;FLEX;SUV - STANDARD;6;AS6;X
278;4;14;10;12;FORD;FLEX AWD;SUV - STANDARD;6;AS6;X
294;4;15;10;13;FORD;FLEX AWD (EcoBoost);SUV - STANDARD;6;AS6;X
163;1;8;6;7;FORD;FOCUS;COMPACT;3;M6;X
205;2;10;7;9;FORD;FOCUS;COMPACT;4;M6;X
177;2;9;6;8;FORD;FOCUS FFV;COMPACT;4;AM6;X
166;2;12;9;10;FORD;FOCUS FFV;COMPACT;4;AM6;E
179;2;9;6;8;FORD;FOCUS FFV;COMPACT;4;AS6;X
170;2;12;9;11;FORD;FOCUS FFV;COMPACT;4;AS6;E
186;2;9;7;8;FORD;FOCUS FFV;COMPACT;4;M5;X
174;2;12;9;11;FORD;FOCUS FFV;COMPACT;4;M5;E
193;2;10;7;8;FORD;FUSION;MID-SIZE;4;AS6;X
184;2;9;6;8;FORD;FUSION (Start/Stop);MID-SIZE;4;AS6;X
205;2;11;7;9;FORD;FUSION;MID-SIZE;4;AS6;X
205;3;11;7;9;FORD;FUSION;MID-SIZE;4;AS6;X
214;2;11;8;9;FORD;FUSION AWD;MID-SIZE;4;AS6;X
126;2;5;6;6;FORD;FUSION HYBRID;MID-SIZE;4;AV;X
216;2;11;7;9;FORD;MUSTANG;SUBCOMPACT;4;AS6;X
212;2;11;8;9;FORD;MUSTANG;SUBCOMPACT;4;M6;X
246;4;13;9;11;FORD;MUSTANG;SUBCOMPACT;6;AS6;X
258;4;14;8;11;FORD;MUSTANG;SUBCOMPACT;6;M6;X
285;5;15;10;12;FORD;MUSTANG;SUBCOMPACT;8;AS6;X
288;5;15;9;13;FORD;MUSTANG;SUBCOMPACT;8;M6;X
228;2;12;8;10;FORD;MUSTANG CONVERTIBLE;SUBCOMPACT;4;AS6;X
299;5;15;10;13;FORD;MUSTANG CONVERTIBLE;SUBCOMPACT;8;AS6;X
338;4;17;13;15;FORD;T-150 WAGON;VAN - PASSENGER;6;AS6;X
340;4;17;13;15;FORD;T-150 WAGON FFV;VAN - PASSENGER;6;AS6;X
315;4;22;17;20;FORD;T-150 WAGON FFV;VAN - PASSENGER;6;AS6;E
209;2;11;7;9;FORD;TAURUS;FULL-SIZE;4;AS6;X
274;4;14;10;12;FORD;TAURUS AWD;FULL-SIZE;6;AS6;X
239;4;12;8;10;FORD;TAURUS FFV;FULL-SIZE;6;AS6;X
235;4;17;11;15;FORD;TAURUS FFV;FULL-SIZE;6;AS6;E
260;4;13;9;11;FORD;TAURUS FFV AWD;FULL-SIZE;6;AS6;X
256;4;19;13;16;FORD;TAURUS FFV AWD;FULL-SIZE;6;AS6;E
216;2;11;8;9;FORD;TRANSIT CONNECT VAN;SPECIAL PURPOSE VEHICLE;4;AS6;X
228;3;11;8;10;FORD;TRANSIT CONNECT VAN;SPECIAL PURPOSE VEHICLE;4;AS6;X
235;3;12;8;10;FORD;TRANSIT CONNECT WAGON;SPECIAL PURPOSE VEHICLE;4;AS6;X
239;3;12;9;10;FORD;TRANSIT CONNECT WAGON TAXI;SPECIAL PURPOSE VEHICLE;4;AS6;X
283;4;14;10;12;GMC;ACADIA;SUV - STANDARD;6;A6;X
290;4;15;10;13;GMC;ACADIA AWD;SUV - STANDARD;6;A6;X
242;3;12;9;11;GMC;CANYON;PICKUP TRUCK - SMALL;4;A6;X
248;3;12;9;11;GMC;CANYON;PICKUP TRUCK - SMALL;4;M6;X
260;4;13;9;11;GMC;CANYON;PICKUP TRUCK - SMALL;6;A6;X
260;3;13;10;11;GMC;CANYON 4WD;PICKUP TRUCK - SMALL;4;A6;X
271;4;14;10;12;GMC;CANYON 4WD;PICKUP TRUCK - SMALL;6;A6;X
414;5;21;14;18;GMC;SAVANA 2500 PASSENGER;VAN - PASSENGER;8;A6;X
432;6;22;15;19;GMC;SAVANA 2500 PASSENGER;VAN - PASSENGER;8;A6;X
432;6;22;15;19;GMC;SAVANA 2500 PASSENGER FFV;VAN - PASSENGER;8;A6;X
414;6;30;21;26;GMC;SAVANA 2500 PASSENGER FFV;VAN - PASSENGER;8;A6;E
416;5;21;14;18;GMC;SAVANA 3500 PASSENGER;VAN - PASSENGER;8;A6;X
437;6;22;15;19;GMC;SAVANA 3500 PASSENGER;VAN - PASSENGER;8;A6;X
437;6;22;15;19;GMC;SAVANA 3500 PASSENGER FFV;VAN - PASSENGER;8;A6;X
418;6;31;21;26;GMC;SAVANA 3500 PASSENGER FFV;VAN - PASSENGER;8;A6;E
274;4;13;10;12;GMC;SIERRA;PICKUP TRUCK - STANDARD;6;A6;X
274;4;19;14;17;GMC;SIERRA;PICKUP TRUCK - STANDARD;6;A6;E
292;5;15;10;13;GMC;SIERRA;PICKUP TRUCK - STANDARD;8;A6;X
275;5;20;14;17;GMC;SIERRA;PICKUP TRUCK - STANDARD;8;A6;E
322;6;16;11;14;GMC;SIERRA;PICKUP TRUCK - STANDARD;8;A8;Z
288;4;14;11;13;GMC;SIERRA 4WD;PICKUP TRUCK - STANDARD;6;A6;X
288;4;20;15;18;GMC;SIERRA 4WD;PICKUP TRUCK - STANDARD;6;A6;E
299;5;15;11;13;GMC;SIERRA 4WD;PICKUP TRUCK - STANDARD;8;A6;X
280;5;20;14;18;GMC;SIERRA 4WD;PICKUP TRUCK - STANDARD;8;A6;E
327;6;16;12;14;GMC;SIERRA 4WD;PICKUP TRUCK - STANDARD;8;A8;Z
209;2;11;7;9;GMC;TERRAIN;SUV - SMALL;4;A6;X
209;2;11;7;9;GMC;TERRAIN FFV;SUV - SMALL;4;A6;X
214;2;16;11;13;GMC;TERRAIN FFV;SUV - SMALL;4;A6;E
278;4;14;10;12;GMC;TERRAIN;SUV - SMALL;6;A6;X
230;2;12;8;10;GMC;TERRAIN AWD;SUV - SMALL;4;A6;X
290;4;15;10;13;GMC;TERRAIN AWD;SUV - SMALL;6;A6;X
292;5;15;10;13;GMC;YUKON;SUV - STANDARD;8;A6;X
275;5;20;14;17;GMC;YUKON;SUV - STANDARD;8;A6;E
299;5;15;10;13;GMC;YUKON 4WD;SUV - STANDARD;8;A6;X
282;5;21;14;18;GMC;YUKON 4WD;SUV - STANDARD;8;A6;E
322;6;16;11;14;GMC;YUKON DENALI 4WD;SUV - STANDARD;8;A6;Z
317;6;16;11;14;GMC;YUKON DENALI 4WD;SUV - STANDARD;8;A8;Z
292;5;15;10;13;GMC;YUKON XL;SUV - STANDARD;8;A6;X
275;5;20;14;17;GMC;YUKON XL;SUV - STANDARD;8;A6;E
306;5;15;11;13;GMC;YUKON XL 4WD;SUV - STANDARD;8;A6;X
306;5;22;15;19;GMC;YUKON XL 4WD;SUV - STANDARD;8;A6;E
334;6;17;12;15;GMC;YUKON XL DENALI 4WD;SUV - STANDARD;8;A6;Z
329;6;16;12;14;GMC;YUKON XL DENALI 4WD;SUV - STANDARD;8;A8;Z
179;2;9;7;8;HONDA;ACCORD;MID-SIZE;4;AV;X
184;2;9;7;8;HONDA;ACCORD;MID-SIZE;4;AV7;X
200;2;10;7;9;HONDA;ACCORD;MID-SIZE;4;M6;X
209;4;11;7;9;HONDA;ACCORD;MID-SIZE;6;A6;X
219;4;11;7;10;HONDA;ACCORD;MID-SIZE;6;AS6;X
251;4;13;8;11;HONDA;ACCORD;MID-SIZE;6;M6;X
115;2;5;5;5;HONDA;ACCORD HYBRID;MID-SIZE;4;AV;X
163;2;8;6;7;HONDA;CIVIC;COMPACT;4;AV;X
166;2;8;6;7;HONDA;CIVIC;COMPACT;4;AV7;X
177;2;9;7;8;HONDA;CIVIC;COMPACT;4;M5;X
216;2;11;8;9;HONDA;CIVIC Si;COMPACT;4;M6;Z
120;2;5;5;5;HONDA;CIVIC HYBRID;COMPACT;4;AV;X
179;2;9;7;8;HONDA;CR-V;SUV - SMALL;4;AV;X
191;2;9;7;8;HONDA;CR-V AWD;SUV - SMALL;4;AV;X
145;2;7;6;6;HONDA;CR-Z;TWO-SEATER;4;AV7;X
159;2;8;6;7;HONDA;CR-Z;TWO-SEATER;4;M6;X
147;2;7;6;6;HONDA;FIT;STATION WAGON - SMALL;4;AV;X
156;2;7;6;7;HONDA;FIT;STATION WAGON - SMALL;4;AV7;X
168;2;8;6;7;HONDA;FIT;STATION WAGON - SMALL;4;M6;X
244;4;12;9;11;HONDA;ODYSSEY;MINIVAN;6;A6;X
264;4;13;9;12;HONDA;PILOT;SUV - SMALL;6;A5;X
276;4;14;10;12;HONDA;PILOT 4WD;SUV - SMALL;6;A5;X
177;2;9;6;8;HYUNDAI;ACCENT;COMPACT;4;AS6;X
175;2;9;6;8;HYUNDAI;ACCENT;COMPACT;4;M6;X
172;2;9;6;8;HYUNDAI;ELANTRA;MID-SIZE;4;AS6;X
177;2;9;6;8;HYUNDAI;ELANTRA;MID-SIZE;4;M6;X
191;2;10;7;8;HYUNDAI;ELANTRA;MID-SIZE;4;AS6;X
196;2;10;7;9;HYUNDAI;ELANTRA;MID-SIZE;4;M6;X
191;2;10;7;8;HYUNDAI;ELANTRA COUPE;MID-SIZE;4;AS6;X
191;2;10;7;8;HYUNDAI;ELANTRA COUPE;MID-SIZE;4;M6;X
198;2;10;7;9;HYUNDAI;ELANTRA GT;MID-SIZE;4;AS6;X
196;2;10;7;9;HYUNDAI;ELANTRA GT;MID-SIZE;4;M6;X
306;5;16;10;13;HYUNDAI;EQUUS;FULL-SIZE;8;AS8;Z
278;4;14;9;12;HYUNDAI;GENESIS AWD;FULL-SIZE;6;AS8;X
327;5;17;11;14;HYUNDAI;GENESIS AWD;FULL-SIZE;8;AS8;Z
283;4;15;10;12;HYUNDAI;GENESIS COUPE;SUBCOMPACT;6;AS8;Z
285;4;14;10;12;HYUNDAI;GENESIS COUPE;SUBCOMPACT;6;M6;Z
260;3;13;9;11;HYUNDAI;SANTA FE;SUV - SMALL;6;AS6;X
264;3;13;10;12;HYUNDAI;SANTA FE AWD;SUV - SMALL;6;AS6;X
237;2;12;9;10;HYUNDAI;SANTA FE SPORT;SUV - SMALL;4;AS6;X
264;2;13;10;12;HYUNDAI;SANTA FE SPORT AWD;SUV - SMALL;4;AS6;X
255;2;13;9;11;HYUNDAI;SANTA FE SPORT AWD;SUV - SMALL;4;AS6;X
287;3;14;11;13;HYUNDAI;SANTA FE ULTIMATE AWD;SUV - SMALL;6;AS6;X
209;2;10;7;9;HYUNDAI;SONATA;FULL-SIZE;4;AS6;X
193;2;10;7;8;HYUNDAI;SONATA;FULL-SIZE;4;AS6;X
193;2;10;7;8;HYUNDAI;SONATA SPORT/LIMITED;FULL-SIZE;4;AS6;X
145;2;7;6;6;HYUNDAI;SONATA HYBRID;MID-SIZE;4;AS6;X
145;2;7;6;6;HYUNDAI;SONATA HYBRID LIMITED;MID-SIZE;4;AS6;X
214;2;10;8;9;HYUNDAI;TUCSON;SUV - SMALL;4;AS6;X
232;2;11;9;10;HYUNDAI;TUCSON;SUV - SMALL;4;M6;X
230;2;11;8;10;HYUNDAI;TUCSON;SUV - SMALL;4;AS6;X
239;2;11;9;10;HYUNDAI;TUCSON AWD;SUV - SMALL;4;AS6;X
244;2;12;9;11;HYUNDAI;TUCSON AWD;SUV - SMALL;4;AS6;X
177;2;9;7;8;HYUNDAI;VELOSTER;COMPACT;4;AM6;X
184;2;9;7;8;HYUNDAI;VELOSTER;COMPACT;4;M6;X
202;2;10;8;9;HYUNDAI;VELOSTER TURBO;COMPACT;4;AS6;X
196;2;10;7;9;HYUNDAI;VELOSTER TURBO;COMPACT;4;M6;X
237;4;12;8;10;INFINITI;Q50;MID-SIZE;6;AS7;Z
248;4;13;9;11;INFINITI;Q50 AWD;MID-SIZE;6;AS7;Z
172;4;8;7;8;INFINITI;Q50 HYBRID;COMPACT;6;AS7;Z
189;4;9;8;8;INFINITI;Q50 HYBRID AWD;COMPACT;6;AS7;Z
246;4;12;9;11;INFINITI;Q60;SUBCOMPACT;6;AS7;Z
267;4;14;9;12;INFINITI;Q60;SUBCOMPACT;6;M6;Z
264;4;13;9;12;INFINITI;Q60 AWD;SUBCOMPACT;6;AS7;Z
269;4;14;9;12;INFINITI;Q60 CONVERTIBLE;SUBCOMPACT;6;AS7;Z
283;4;14;10;12;INFINITI;Q60 CONVERTIBLE;SUBCOMPACT;6;M6;Z
253;4;13;9;11;INFINITI;Q70;MID-SIZE;6;AS7;Z
285;6;15;10;12;INFINITI;Q70;MID-SIZE;8;AS7;Z
267;4;13;10;12;INFINITI;Q70 AWD;MID-SIZE;6;AS7;Z
297;6;15;10;13;INFINITI;Q70 AWD;MID-SIZE;8;AS7;Z
172;4;8;7;8;INFINITI;Q70 HYBRID;MID-SIZE;6;AS7;Z
274;4;14;10;12;INFINITI;QX50 AWD;STATION WAGON - SMALL;6;AS7;Z
232;4;11;9;10;INFINITI;QX60;SUV - SMALL;6;AV7;Z
246;4;12;9;11;INFINITI;QX60 AWD;SUV - SMALL;6;AV7;Z
200;3;9;8;9;INFINITI;QX60 HYBRID AWD;SUV - STANDARD;4;AV7;X
294;4;15;11;13;INFINITI;QX70 AWD;SUV - SMALL;6;AS7;Z
338;6;17;12;15;INFINITI;QX80 4WD;SUV - STANDARD;8;AS7;Z
237;3;12;8;10;JAGUAR;F-TYPE CONVERTIBLE;TWO-SEATER;6;AS8;Z
237;3;12;8;10;JAGUAR;F-TYPE COUPE;TWO-SEATER;6;AS8;Z
244;3;12;9;11;JAGUAR;F-TYPE S CONVERTIBLE;TWO-SEATER;6;AS8;Z
244;3;12;9;11;JAGUAR;F-TYPE S COUPE;TWO-SEATER;6;AS8;Z
294;5;15;10;13;JAGUAR;F-TYPE V8 R COUPE;TWO-SEATER;8;AS8;Z
294;5;15;10;13;JAGUAR;F-TYPE V8 S CONVERTIBLE;TWO-SEATER;8;AS8;Z
242;2;12;8;11;JAGUAR;XF;MID-SIZE;4;AS8;Z
267;3;14;9;12;JAGUAR;XF AWD;MID-SIZE;6;AS8;Z
304;5;16;10;13;JAGUAR;XFR;MID-SIZE;8;AS8;Z
290;5;21;14;18;JAGUAR;XFR;MID-SIZE;8;AS8;E
304;5;16;10;13;JAGUAR;XFR-S;MID-SIZE;8;AS8;Z
285;3;15;10;12;JAGUAR;XJ AWD;FULL-SIZE;6;AS8;Z
306;5;16;10;13;JAGUAR;XJ SUPERCHARGED;FULL-SIZE;8;AS8;Z
280;5;21;14;18;JAGUAR;XJ SUPERCHARGED;FULL-SIZE;8;AS8;E
288;3;15;10;13;JAGUAR;XJL AWD PORTFOLIO;FULL-SIZE;6;AS8;Z
306;5;16;10;13;JAGUAR;XJL SUPERCHARGED;FULL-SIZE;8;AS8;Z
280;5;21;14;18;JAGUAR;XJL SUPERCHARGED;FULL-SIZE;8;AS8;E
306;5;16;10;13;JAGUAR;XJR;FULL-SIZE;8;AS8;Z
306;5;16;10;13;JAGUAR;XJR LWB;FULL-SIZE;8;AS8;Z
313;5;16;11;14;JAGUAR;XKR CONVERTIBLE;MINICOMPACT;8;AS6;Z
308;5;16;11;13;JAGUAR;XKR COUPE;MINICOMPACT;8;AS6;Z
313;5;16;11;14;JAGUAR;XKR-S CONVERTIBLE;MINICOMPACT;8;AS6;Z
